word	nodeType	unit	synset
blasphemous	ADJ	lovecraftSentences	2
nameless	ADJ	lovecraftSentences	1
young	ADJ	lovecraftSentences	14
terrible	ADJ	lovecraftSentences	4
common	ADJ	lovecraftSentences	10
attic	ADJ	lovecraftSentences	5
capable	ADJ	lovecraftSentences	5
monstrous	ADJ	lovecraftSentences	3
accountable	ADJ	lovecraftSentences	1
eternal	ADJ	lovecraftSentences	2
stolid	ADJ	lovecraftSentences	1
mad	ADJ	lovecraftSentences	4
conscious	ADJ	lovecraftSentences	3
low	ADJ	lovecraftSentences	16
dark	ADJ	lovecraftSentences	16
clammy	ADJ	lovecraftSentences	1
frightful	ADJ	lovecraftSentences	3
vague	ADJ	lovecraftSentences	3
heavy	ADJ	lovecraftSentences	30
sticky	ADJ	lovecraftSentences	5
fiendish	ADJ	lovecraftSentences	1
unclean	ADJ	lovecraftSentences	2
associative	ADJ	lovecraftSentences	1
feverish	ADJ	lovecraftSentences	3
good	ADJ	lovecraftSentences	27
backward	ADJ	lovecraftSentences	7
black	ADJ	lovecraftSentences	22
narrow	ADJ	lovecraftSentences	10
merciful	ADJ	lovecraftSentences	2
faint	ADJ	lovecraftSentences	8
unmistakable	ADJ	lovecraftSentences	2
frantic	ADJ	lovecraftSentences	2
frenzied	ADJ	lovecraftSentences	2
buggy	ADJ	lovecraftSentences	3
frightened	ADJ	lovecraftSentences	4
dark	ADJ	lovecraftSentences	16
liquid	ADJ	lovecraftSentences	11
buggy	ADJ	lovecraftSentences	3
pale	ADJ	lovecraftSentences	7
ancient	ADJ	lovecraftSentences	4
old	ADJ	lovecraftSentences	9
Most	ADJ	lovecraftSentences	5
feeble	ADJ	lovecraftSentences	4
heavy	ADJ	lovecraftSentences	30
alive	ADJ	lovecraftSentences	7
external	ADJ	lovecraftSentences	5
last	ADJ	lovecraftSentences	21
half	ADJ	lovecraftSentences	6
advanced	ADJ	lovecraftSentences	20
horrible	ADJ	lovecraftSentences	1
dry	ADJ	lovecraftSentences	19
distorted	ADJ	lovecraftSentences	7
able	ADJ	lovecraftSentences	4
final	ADJ	lovecraftSentences	5
more	ADJ	lovecraftSentences	5
back	ADJ	lovecraftSentences	28
buggy	ADJ	lovecraftSentences	3
poor	ADJ	lovecraftSentences	7
buggy	ADJ	lovecraftSentences	3
more	ADJ	lovecraftSentences	5
same	ADJ	lovecraftSentences	6
strange	ADJ	lovecraftSentences	3
considerable	ADJ	lovecraftSentences	1
medical	ADJ	lovecraftSentences	4
diseased	ADJ	lovecraftSentences	1
many	ADJ	lovecraftSentences	1
buggy	ADJ	lovecraftSentences	3
gruesome	ADJ	lovecraftSentences	1
unmoved	ADJ	lovecraftSentences	2
whole	ADJ	lovecraftSentences	8
grey	ADJ	lovecraftSentences	13
terrible	ADJ	lovecraftSentences	4
long	ADJ	lovecraftSentences	12
medical	ADJ	lovecraftSentences	4
little	ADJ	lovecraftSentences	10
puzzling	ADJ	lovecraftSentences	4
unknown	ADJ	lovecraftSentences	8
many	ADJ	lovecraftSentences	1
baffling	ADJ	lovecraftSentences	4
strange	ADJ	lovecraftSentences	3
previous	ADJ	lovecraftSentences	3
alkaline	ADJ	lovecraftSentences	1
anxious	ADJ	lovecraftSentences	2
great	ADJ	lovecraftSentences	7
last	ADJ	lovecraftSentences	21
low	ADJ	lovecraftSentences	16
skeletal	ADJ	lovecraftSentences	2
small	ADJ	lovecraftSentences	13
large	ADJ	lovecraftSentences	11
same	ADJ	lovecraftSentences	6
small	ADJ	lovecraftSentences	13
ooze	ADJ	lovecraftSentences	4
porous	ADJ	lovecraftSentences	3
long	ADJ	lovecraftSentences	12
wooden	ADJ	lovecraftSentences	2
solid	ADJ	lovecraftSentences	18
ancient	ADJ	lovecraftSentences	4
intermittent	ADJ	lovecraftSentences	1
spectral	ADJ	lovecraftSentences	2
half	ADJ	lovecraftSentences	6
grey	ADJ	lovecraftSentences	13
entire	ADJ	lovecraftSentences	5
convincing	ADJ	lovecraftSentences	2
common	ADJ	lovecraftSentences	10
strange	ADJ	lovecraftSentences	3
unknown	ADJ	lovecraftSentences	8
unaccountable	ADJ	lovecraftSentences	2
common	ADJ	lovecraftSentences	10
true	ADJ	lovecraftSentences	15
contrary	ADJ	lovecraftSentences	7
natural	ADJ	lovecraftSentences	13
well	ADJ	lovecraftSentences	22
good	ADJ	lovecraftSentences	27
peculiar	ADJ	lovecraftSentences	4
similar	ADJ	lovecraftSentences	5
grey	ADJ	lovecraftSentences	13
brittle	ADJ	lovecraftSentences	4
grey	ADJ	lovecraftSentences	13
abhorrent	ADJ	lovecraftSentences	1
luminous	ADJ	lovecraftSentences	1
more	ADJ	lovecraftSentences	5
fitful	ADJ	lovecraftSentences	2
new	ADJ	lovecraftSentences	12
definite	ADJ	lovecraftSentences	2
